#SURF	Chip	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-0.366707
1	1	-0.307179
1	2	-0.235899
1	3	-0.10265
2	0	0.259789
2	1	0.217287
2	2	0.172328
2	3	0.199882
3	0	-0.809161
3	1	-0.843443
3	2	-0.858642
3	3	-0.752513
4	0	-0.389458
4	1	-0.467018
4	2	-0.7151
4	3	-0.562273
5	0	0.208597
5	1	0.191867
5	2	0.073068
5	3	0.123714
6	0	0.74224
6	1	0.73078
6	2	0.68785
6	3	0.72078
7	0	1.90349
7	1	1.85693
7	2	1.71353
7	3	1.83067
