#SURF	Chip	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-0.342326
1	1	-0.29706
1	2	-0.224981
1	3	-0.0907586
2	0	0.284217
2	1	0.242131
2	2	0.218328
2	3	0.236045
3	0	-0.765923
3	1	-0.797159
3	2	-0.800372
3	3	-0.705317
4	0	-0.383361
4	1	-0.456506
4	2	-0.702236
4	3	-0.54803
5	0	0.213931
5	1	0.210707
5	2	0.087453
5	3	0.129357
6	0	0.73391
6	1	0.72642
6	2	0.68478
6	3	0.7087
7	0	1.89603
7	1	1.8623
7	2	1.71574
7	3	1.8273
