#SURF	CHIP	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-1.54073
1	1	-1.17162
1	2	0.67007
1	3	0.277075
2	0	0.174365
2	1	0.202704
2	2	2.09422
2	3	-0.469437
3	0	-0.745166
3	1	-0.635239
3	2	-1.91935
3	3	1.48853
4	0	-1.32665
4	1	-4.07008
4	2	-2.47014
4	3	3.50826
5	0	-2.70748
5	1	-3.31857
5	2	-3.61552
5	3	1.55223
6	0	-2.08191
6	1	-1.97089
6	2	-0.52323
6	3	0.746701
7	0	-2.9937
7	1	-4.82614
7	2	-1.54253
7	3	1.93941
8	0	-4.59478
8	1	-6.44307
8	2	0.0393559
8	3	-1.61464
