SURF	Chan	LAB Relative Delay (ns)
11	0	2	-2.86382
11	1	2	-2.72345
11	2	2	-2.74568
11	3	2	-2.53921
11	4	2	-2.67151
11	5	2	-2.62078
11	6	2	-2.64513
11	7	2	-2.71787
0	0	3	4.21434
0	1	3	4.35072
0	2	3	4.28636
0	3	3	4.41911
0	4	3	4.58177
0	5	3	4.52935
0	6	3	4.24595
0	7	3	4.45454
1	0	3	4.28031
1	1	3	4.401
1	2	3	4.45036
1	3	3	4.52399
1	4	3	4.61075
1	5	3	4.76999
1	6	3	4.44714
1	7	3	4.52882
2	0	3	4.25525
2	1	3	4.34065
2	2	3	4.07049
2	3	3	4.39679
2	4	3	4.37348
2	5	3	4.40238
2	6	3	4.15
2	7	3	4.38464
3	0	3	4.08395
3	1	3	4.28131
3	2	3	4.24569
3	3	3	3.9903
3	4	3	4.28084
3	5	3	4.46619
3	6	3	4.30909
3	7	3	3.98244
4	0	3	5.6565
4	1	3	5.94895
4	2	3	5.73473
4	3	3	5.87819
4	4	3	5.99054
4	5	3	5.91965
4	6	3	5.95974
4	7	3	5.87308
5	0	3	0.911801
5	1	3	1.02706
5	2	3	1.1462
5	3	3	1.208
5	4	3	1.21618
5	5	3	1.27912
5	6	3	1.16888
5	7	3	1.15765
6	0	3	-0.37368
6	1	3	-0.250944
6	2	3	-0.120036
6	3	3	0
6	4	3	0.386185
6	5	3	0.042315
6	6	3	-0.0686445
6	7	3	0.048315
7	0	3	-0.0753501
7	1	3	-0.0378843
7	2	3	-0.00337522
7	3	3	0.115759
7	4	3	0.11728
7	5	3	0.144236
7	6	3	0.177172
7	7	3	0.132611
8	0	3	-0.0373502
8	1	3	0.164167
8	2	3	0.128056
8	3	3	0.176786
8	4	3	0.275039
8	5	3	0.333631
8	6	3	0.16287
8	7	3	0.284881
9	0	3	-0.174614
9	1	3	-0.0179167
9	2	3	-0.048019
9	3	3	-0.26625
9	4	3	0.0288388
9	5	3	0.150952
9	6	3	0.06529
9	7	3	-0.163512
10	0	3	1.16886
10	1	3	1.27235
10	2	3	1.32716
10	3	3	1.42115
10	4	3	1.44713
10	5	3	1.41658
10	6	3	1.34556
10	7	3	1.60811
11	0	3	-2.89764
11	1	3	-2.73925
11	2	3	-2.73272
11	3	3	-2.5147
11	4	3	-2.60858
11	5	3	-2.54168
11	6	3	-2.5374
11	7	3	-2.56882
