#SURF	CHIP	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-1.58796
1	1	-1.21867
1	2	0.525908
1	3	0.0280152
2	0	0.168948
2	1	0.226673
2	2	2.17848
2	3	-0.403649
3	0	-0.714578
3	1	-0.542043
3	2	-1.78985
3	3	1.58102
4	0	-1.25623
4	1	-3.96313
4	2	-2.3207
4	3	3.59417
5	0	-2.66775
5	1	-3.31207
5	2	-3.57633
5	3	1.53057
6	0	-2.08009
6	1	-1.98045
6	2	-0.481022
6	3	0.787725
7	0	-2.9638
7	1	-4.78736
7	2	-1.47078
7	3	1.90205
8	0	-4.72311
8	1	-6.56466
8	2	-0.0690061
8	3	-1.76956
