SURF	Chan	Chip	DeltaT	RMS	Entries
5	2	1	0	0	0
5	2	2	0	0	0
5	2	3	0	0	0
5	3	0	0	0	0
5	3	1	0	0	0
5	3	2	0	0	0
5	3	3	0	0	0
5	4	0	-11.9621	0.0526317	231
5	4	1	-11.9429	0.0577444	249
5	4	2	-11.8037	0.0539825	249
5	4	3	-11.9706	0.0553691	250
5	5	0	-11.6557	0.0401249	178
5	5	1	-11.6627	0.0507868	191
5	5	2	-11.5274	0.0482856	181
5	5	3	-11.7365	0.053791	182
5	6	0	0	0	0
5	6	1	0	0	0
5	6	2	0	0	0
5	6	3	0	0	0
5	7	0	0	0	0
5	7	1	0	0	0
5	7	2	0	0	0
5	7	3	0	0	0
6	0	0	-5.00838	0.0530076	183
6	0	1	-12.6385	0.0511547	220
6	0	2	-4.22145	0.0515312	201
6	0	3	-12.0617	0.0635399	235
6	1	0	-5.52327	0.05027	238
6	1	1	-13.1791	0.040175	249
6	1	2	-4.80179	0.0474228	250
6	1	3	-12.6457	0.0510814	250
6	2	0	0	0	0
6	2	1	0	0	0
6	2	2	0	0	0
6	2	3	0	0	0
6	3	0	0	0	0
6	3	1	0	0	0
6	3	2	0	0	0
6	3	3	0	0	0
6	4	0	-11.1063	0.055805	234
6	4	1	-18.8564	0.0569373	248
6	4	2	-10.4811	0.0534983	245
6	4	3	-18.4004	0.0638259	249
6	5	0	-11.092	0.0494955	238
6	5	1	-18.8675	0.0430679	250
6	5	2	-10.5032	0.0456735	250
6	5	3	-18.4563	0.0569505	250
6	6	0	0	0	0
6	6	1	0	0	0
6	6	2	0	0	0
6	6	3	0	0	0
6	7	0	0	0	0
6	7	1	0	0	0
6	7	2	0	0	0
6	7	3	0	0	0
7	0	0	-5.68473	0.0500556	214
7	0	1	-5.60623	0.052831	229
7	0	2	-5.61523	0.0523478	217
7	0	3	-5.62019	0.0456171	240
7	1	0	-5.50512	0.0472429	238
7	1	1	-5.45759	0.0476166	250
7	1	2	-5.44285	0.0462064	250
7	1	3	-5.46142	0.0428701	250
7	2	0	0	0	0
7	2	1	0	0	0
7	2	2	0	0	0
7	2	3	0	0	0
7	3	0	0	0	0
7	3	1	0	0	0
7	3	2	0	0	0
7	3	3	0	0	0
7	4	0	-11.2923	0.0574401	235
7	4	1	-11.3171	0.0587284	246
7	4	2	-11.3351	0.0591714	247
7	4	3	-11.4668	0.0513972	250
7	5	0	-11.3916	0.0482389	238
7	5	1	-11.435	0.0500834	250
7	5	2	-11.4569	0.0486998	250
7	5	3	-11.6065	0.0479893	250
7	6	0	0	0	0
7	6	1	0	0	0
7	6	2	0	0	0
7	6	3	0	0	0
7	7	0	0	0	0
7	7	1	0	0	0
7	7	2	0	0	0
7	7	3	0	0	0
8	0	0	0	0	0
8	0	1	0	0	0
8	0	2	0	0	0
8	0	3	0	0	0
8	1	0	0	0	0
8	1	1	0	0	0
8	1	2	0	0	0
8	1	3	0	0	0
8	2	0	0	0	0
8	2	1	0	0	0
8	2	2	0	0	0
8	2	3	0	0	0
8	3	0	0	0	0
8	3	1	0	0	0
8	3	2	0	0	0
8	3	3	0	0	0
8	4	0	0	0	0
8	4	1	0	0	0
8	4	2	0	0	0
8	4	3	0	0	0
8	5	0	0	0	0
8	5	1	0	0	0
8	5	2	0	0	0
8	5	3	0	0	0
8	6	0	0	0	0
8	6	1	0	0	0
8	6	2	0	0	0
8	6	3	0	0	0
8	7	0	0	0	0
8	7	1	0	0	0
8	7	2	0	0	0
8	7	3	0	0	0
9	0	0	0	0	0
9	0	1	0	0	0
9	0	2	0	0	0
9	0	3	0	0	0
9	1	0	0	0	0
9	1	1	0	0	0
9	1	2	0	0	0
9	1	3	0	0	0
9	2	0	0	0	0
9	2	1	0	0	0
9	2	2	0	0	0
9	2	3	0	0	0
9	3	0	0	0	0
9	3	1	0	0	0
9	3	2	0	0	0
9	3	3	0	0	0
9	4	0	0	0	0
9	4	1	0	0	0
9	4	2	0	0	0
9	4	3	0	0	0
9	5	0	0	0	0
9	5	1	0	0	0
9	5	2	0	0	0
9	5	3	0	0	0
9	6	0	0	0	0
9	6	1	0	0	0
9	6	2	0	0	0
9	6	3	0	0	0
9	7	0	0	0	0
9	7	1	0	0	0
9	7	2	0	0	0
9	7	3	0	0	0
