#SURF	Chip	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-0.419229
1	1	-0.351463
1	2	-0.391886
1	3	-0.370983
2	0	0.22461
2	1	0.246393
2	2	0.224132
2	3	0.271691
3	0	-0.80979
3	1	-0.753647
3	2	-0.73759
3	3	-0.639959
4	0	-0.348291
4	1	-0.352339
4	2	-0.538435
4	3	-0.453861
5	0	0.200015
5	1	0.184749
5	2	0.136865
5	3	0.119035
6	0	0.70698
6	1	0.74578
6	2	0.7218
6	3	0.774
7	0	1.90149
7	1	1.88146
7	2	1.74174
7	3	1.78332
