#SURF	CHIP	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-1.58473
1	1	-1.22046
1	2	0.516072
1	3	0.0248502
2	0	0.176275
2	1	0.226002
2	2	2.17006
2	3	-0.40005
3	0	-0.707178
3	1	-0.532727
3	2	-1.79215
3	3	1.58243
4	0	-1.24492
4	1	-3.9639
4	2	-2.30612
4	3	3.59064
5	0	-2.68981
5	1	-3.31643
5	2	-3.5561
5	3	1.52638
6	0	-2.08048
6	1	-1.97337
6	2	-0.486755
6	3	0.783263
7	0	-2.96753
7	1	-4.79113
7	2	-1.48328
7	3	1.88972
8	0	-4.71
8	1	-6.56262
8	2	-0.0739266
8	3	-1.75639
