SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
3	7	1	28	H	423.0	57.4	0.804
3	7	2	28	H	419.5	54.6	0.810
3	7	3	28	H	447.0	58.3	0.760
4	0	0	11	V	344.4	54.4	0.987
4	0	1	11	V	334.1	48.9	1.017
4	0	2	11	V	322.1	50.0	1.055
4	0	3	11	V	334.0	48.1	1.018
4	1	0	15	V	209.8	33.8	1.620
4	1	1	15	V	206.4	35.7	1.647
4	1	2	15	V	207.6	35.6	1.638
4	1	3	15	V	212.1	33.4	1.603
4	2	0	21	V	328.9	49.5	1.033
4	2	1	21	V	331.5	47.4	1.025
4	2	2	21	V	325.2	44.5	1.045
4	2	3	21	V	339.7	51.3	1.001
4	3	0	29	V	355.0	52.2	0.957
4	3	1	29	V	352.2	54.3	0.965
4	3	2	29	V	341.3	50.7	0.996
4	3	3	29	V	357.4	49.7	0.951
4	4	0	11	H	333.9	48.2	1.018
4	4	1	11	H	337.6	47.5	1.007
4	4	2	11	H	327.6	44.7	1.037
4	4	3	11	H	338.0	47.3	1.006
4	5	0	15	H	280.4	41.2	1.212
4	5	1	15	H	287.2	42.7	1.184
4	5	2	15	H	273.4	38.4	1.243
4	5	3	15	H	291.6	40.7	1.166
4	6	0	21	H	359.0	49.5	0.947
4	6	1	21	H	364.4	48.8	0.933
4	6	2	21	H	350.9	48.7	0.969
4	6	3	21	H	369.3	49.9	0.920
4	7	0	29	H	353.2	48.9	0.963
4	7	1	29	H	357.6	50.7	0.950
4	7	2	29	H	342.8	51.4	0.991
4	7	3	29	H	363.8	51.2	0.934
5	0	0	3	V	348.8	48.4	0.974
5	0	1	3	V	346.7	49.1	0.980
5	0	2	3	V	372.1	55.3	0.914
5	0	3	3	V	341.2	50.3	0.996
5	1	0	7	V	300.5	43.2	1.131
5	1	1	7	V	307.7	42.9	1.105
5	1	2	7	V	333.3	50.4	1.020
5	1	3	7	V	305.4	44.4	1.113
5	2	0	22	V	366.2	56.7	0.928
5	2	1	22	V	369.3	55.0	0.921
5	2	2	22	V	387.5	54.4	0.877
5	2	3	22	V	371.9	53.3	0.914
5	3	0	30	V	377.6	50.8	0.900
5	3	1	30	V	383.9	53.4	0.885
5	3	2	30	V	402.3	54.1	0.845
5	3	3	30	V	386.4	55.1	0.880
5	4	0	3	H	339.4	46.9	1.002
5	4	1	3	H	361.3	45.5	0.941
5	4	2	3	H	365.1	55.4	0.931
5	4	3	3	H	348.6	49.1	0.975
5	5	0	7	H	304.6	39.3	1.116
5	5	1	7	H	313.7	41.9	1.084
5	5	2	7	H	328.5	47.2	1.035
5	5	3	7	H	314.5	43.4	1.081
5	6	0	22	H	380.0	54.1	0.895
5	6	1	22	H	394.7	55.5	0.861
5	6	2	22	H	415.3	59.5	0.819
5	6	3	22	H	400.3	59.1	0.849
5	7	0	30	H	362.4	47.0	0.938
5	7	1	30	H	371.4	50.0	0.915
5	7	2	30	H	390.5	55.3	0.870
5	7	3	30	H	377.6	52.9	0.900
6	0	0	12	V	391.8	55.3	0.868
6	0	1	12	V	377.1	51.8	0.901
6	0	2	12	V	382.2	55.3	0.889
