#SURF	Chip	Calib
0	0	0
0	1	0
0	2	0
0	3	0
1	0	-0.403168
1	1	-0.351827
1	2	-0.383353
1	3	-0.352349
2	0	0.247403
2	1	0.262837
2	2	0.251924
2	3	0.32199
3	0	-0.767507
3	1	-0.717114
3	2	-0.692152
3	3	-0.575176
4	0	-0.327247
4	1	-0.336708
4	2	-0.534695
4	3	-0.438464
5	0	0.223291
5	1	0.208031
5	2	0.147145
5	3	0.127274
6	0	0.70876
6	1	0.74434
6	2	0.71963
6	3	0.76594
7	0	1.90205
7	1	1.88796
7	2	1.74373
7	3	1.78203
