SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
4	6	1	14	H	516.742	22.4684	1.06687
4	6	2	14	H	528.824	21.5862	1.04249
4	6	3	14	H	546.449	22.8678	1.00887
4	6	4	14	H	540.985	23.8264	1.01906
4	7	1	20	H	571.78	35.098	0.964173
4	7	2	20	H	597.256	25.016	0.923046
4	7	3	20	H	605.092	27.2917	0.911092
4	7	4	20	H	605.972	28.7395	0.909769
4	8	1	28	H	528.431	21.6821	1.04327
4	8	2	28	H	537.683	22.564	1.02531
4	8	3	28	H	546.655	21.9901	1.00849
4	8	4	28	H	547.677	24.0207	1.00661
5	1	1	12	V	388	28.2904	0.910747
5	1	2	12	V	386.702	28.6437	0.913805
5	1	3	12	V	398.573	28.2708	0.886588
5	1	4	12	V	407.66	26.4458	0.866825
5	2	1	16	H	594.666	33.385	0.926699
5	2	2	16	H	331.123	48.8086	1.66426
5	2	3	16	H	586.937	27.3906	0.938902
5	2	4	16	H	592.468	26.2918	0.930136
5	3	1	23	V	337.61	22.6527	1.04668
5	3	2	23	V	337.798	20.6196	1.0461
5	3	3	23	V	342.548	22.5901	1.03159
5	3	4	23	V	350.429	18.8063	1.00839
5	4	1	31	V	332.54	21.0216	1.06264
5	4	2	31	V	333.695	19.4469	1.05896
5	4	3	31	V	342.661	20.9164	1.03125
5	4	4	31	V	350.054	20.0095	1.00947
5	5	1	11	H	577.372	27.2311	0.954456
5	5	2	11	H	582.798	28.0759	0.945569
5	5	3	11	H	582.655	26.7857	0.945802
5	5	4	11	H	604.752	26.671	0.911243
5	6	1	16	V	330.3	18.4636	1.06984
5	6	2	16	V	336.742	18.7496	1.04938
5	6	3	16	V	337.331	16.5175	1.04755
5	6	4	16	V	356.494	17.4281	0.991236
5	7	1	22	H	573.542	38.0232	0.960829
5	7	2	22	H	586.002	27.0906	0.9404
5	7	3	22	H	584.51	25.7926	0.9428
5	7	4	22	H	620.933	27.3112	0.887498
5	8	1	30	H	521.09	25.1641	1.05755
5	8	2	30	H	546.014	22.3821	1.00927
5	8	3	30	H	533.401	21.1036	1.03314
5	8	4	30	H	572.279	23.2024	0.96295
6	1	1	1	V	393.828	21.7574	0.897007
6	1	2	1	V	370.46	22.4564	0.953588
